unixtime,load1,load2,load3,price
1432480500,0.082,0,0.502,14.78
1432481400,0.08,0,0.501,14.78
1432482300,0.07,0,0.483,14.78
1432483200,0.08,0,0.517,14.78
1432484100,0.078,0,0.162,14.97
1432485000,0.072,0,0.159,14.97
1432485900,0.09,0,0.41,14.97
1432486800,0.088,0,0.57,14.97
1432487700,0.062,0,0.062,16.01
1432488600,0.08,0,0.056,16.01
1432489500,0.098,0,0.077,16.01
1432490400,0.062,0,0.065,16.01
1432491300,0.098,0,0.071,20.12
1432492200,0.127,0,0.354,20.12
1432493100,0.18,0,0.211,20.12
1432494000,0.113,0,0.079,20.12
1432494900,0.187,0,0.088,23.71
1432495800,0.15,0,0.312,23.71
1432496700,0.198,0,0.094,23.71
1432497600,0.217,0,0.099,23.71
1432498500,0.212,0.02,0.262,24.5
1432499400,0.228,0.1,0.069,24.5
1432500300,0.195,0.09,0.232,24.5
1432501200,0.182,0.25,0.069,24.5
1432502100,0.113,0.66,0.206,27.8
1432503000,0.09,0.26,0.085,27.8
1432503900,0.087,0.22,0.158,27.8
1432504800,0.08,0.215,0.131,27.8
1432505700,0.08,0.2,0.117,29.99
1432506600,0.09,0.19,0.166,29.99
1432507500,0.08,0.16,0.096,29.99
1432508400,0.073,0.18,0.21,29.99
1432509300,0.08,0.19,0.067,24.7
1432510200,0.07,0.195,0.218,24.7
1432511100,0.088,0.2,0.058,24.7
1432512000,0.087,0.185,0.137,24.7
1432512900,0.075,0.2,0.158,21.1
1432513800,0.08,0.1,0.099,21.1
1432514700,0.07,0.08,0.563,21.1
1432515600,0.08,0.07,0.28,21.1
1432516500,0.078,0.085,0.064,19.31
1432517400,0.07,0.06,0.066,19.31
1432518300,0.08,0.055,0.204,19.31
1432519200,0.08,0.045,0.127,19.31
1432520100,0.082,0.06,0.07,17.92
1432521000,0.08,0.06,0.232,17.92
1432521900,0.07,0.075,0.054,17.92
1432522800,0.087,0.065,0.278,17.92
1432523700,0.07,0.065,0.065,16.1
1432524600,0.081,0.065,0.246,16.1
1432525500,0.082,0.05,0.225,16.1
1432526400,0.1,0.05,0.263,16.1
1432527300,0.115,0.05,0.172,15.91
1432528200,0.092,0.05,0.172,15.91
1432529100,0.081,0.045,0.544,15.91
1432530000,0.082,0.055,0.33,15.91
1432530900,0.095,0.045,0.002,18.58
1432531800,0.082,0.055,0,18.58
1432532700,0.08,0.06,0.206,18.58
1432533600,0.073,0.075,0.014,18.58
1432534500,0.125,0.065,0.125,20.98
1432535400,0.167,0.065,0.005,20.98
1432536300,0.196,0.055,0,20.98
1432537200,0.147,0.05,0.08,20.98
1432538100,0.103,0.03,0,22.09
1432539000,0.127,0.02,0.006,22.09
1432539900,0.093,0,0.004,22.09
1432540800,0.13,0.01,0.004,22.09
1432541700,0.322,0,0.006,22.94
1432542600,0.498,0,0,22.94
1432543500,0.149,0,0,22.94
1432544400,0.138,0,0,22.94
1432545300,0.17,0,0.075,24.09
1432546200,0.152,0,0.211,24.09
1432547100,0.145,0,0.133,24.09
1432548000,0.641,0,0.068,24.09
1432548900,0.755,0,0.043,23.99
1432549800,0.64,0,0,23.99
1432550700,0.904,0,0,23.99
1432551600,0.333,0,0.036,23.99
1432552500,0.112,0,0.084,25.01
1432553400,0.121,0,0,25.01
1432554300,0.277,0,0.009,25.01
1432555200,0.393,0,0.103,25.01
1432556100,0.285,0,0.314,25
1432557000,0.427,0,0.201,25
1432557900,0.098,0,0.211,25
1432558800,0.097,0,0.274,25
1432559700,0.095,0,0.756,21.74
1432560600,0.098,0,0.337,21.74
1432561500,0.079,0,0.1,21.74
1432562400,0.101,0,0.072,21.74
1432563300,0.179,0,0.041,21.09
1432564200,0.103,0,0.022,21.09
1432565100,0.098,0,0.036,21.09
1432566000,0.07,0,0.041,21.09
1432566900,0.13,0,0.278,19.9
1432567800,0.099,0,0.378,19.9
1432568700,0.09,0,0.063,19.9
1432569600,0.093,0.005,0.062,19.9
1432570500,0.088,0.19,0.049,20.44
1432571400,0.09,0.005,0.05,20.44
1432572300,0.08,0.01,0.057,20.44
1432573200,0.117,0,0.073,20.44
1432574100,0.133,0,0.071,21.99
1432575000,0.117,0.02,0.078,21.99
1432575900,0.13,0.04,0.051,21.99
1432576800,0.14,0.115,0.058,21.99
1432577700,0.158,0.115,0.053,26.58
1432578600,0.182,0.02,0.05,26.58
1432579500,0.17,0.085,0.077,26.58
1432580400,0.18,0.145,0.083,26.58
1432581300,0.17,0.135,0.093,30.81
1432582200,0.168,0.165,0.114,30.81
1432583100,0.202,0.165,0.08,30.81
1432584000,0.178,0.18,0.058,30.81
1432584900,0.172,0.17,0.07,32.89
1432585800,0.113,0.11,0.056,32.89
1432586700,0.072,0.14,0.039,32.89
1432587600,0.108,0.155,0.059,32.89
1432588500,0.11,0.18,0.031,32.94
1432589400,0.09,0.175,0.036,32.94
1432590300,0.102,0.24,0.061,32.94
1432591200,0.07,0.18,0.049,32.94
1432592100,0.08,0.2,0.034,33.64
1432593000,0.095,0.21,0.049,33.64
1432593900,0.092,0.215,0.03,33.64
1432594800,0.083,0.215,0.031,33.64
1432595700,0.067,0.205,0.039,29.46
1432596600,0.081,0.205,0.031,29.46
1432597500,0.08,0.2,0.041,29.46
1432598400,0.072,0.18,0.039,29.46
1432599300,0.09,0.77,0.05,29.43
1432600200,0.078,0.27,0.056,29.43
1432601100,0.079,0.185,0.025,29.43
1432602000,0.071,0.185,0.038,29.43
1432602900,0.072,0.175,0.039,26.69
1432603800,0.088,0.145,0.029,26.69
1432604700,0.08,0.16,0.034,26.69
1432605600,0.092,0.135,0.041,26.69
1432606500,0.078,0.115,0.027,23.93
1432607400,0.072,0.12,0.048,23.93
1432608300,0.088,0.11,0.057,23.93
1432609200,0.062,0.09,0.027,23.93
1432610100,0.09,0.06,0.048,22.73
1432611000,0.088,0.065,0.049,22.73
1432611900,0.08,0.045,0.109,22.73
1432612800,0.112,0.055,0.1,22.73
1432613700,0.07,0.04,0.078,22.47
1432614600,0.088,0.055,0.063,22.47
1432615500,0.08,0.045,0.068,22.47
1432616400,0.12,0.06,0.043,22.47
1432617300,0.115,0.06,0.041,23.4
1432618200,0.105,0.07,0.233,23.4
1432619100,0.092,0.055,0.423,23.4
1432620000,0.087,0.07,0.19,23.4
1432620900,0.121,0.055,0.053,37.23
1432621800,0.64,0.05,0.168,37.23
1432622700,0.147,0.04,0.075,37.23
1432623600,0.123,0.055,0.03,37.23
1432624500,0.097,0.03,0.17,47.97
1432625400,0.085,0.025,0,47.97
1432626300,0.095,0.005,0.111,47.97
1432627200,0.112,0.015,0.009,47.97
1432628100,0.111,0,0.03,50.73
1432629000,0.097,0.09,0.08,50.73
1432629900,0.13,0,0,50.73
1432630800,0.103,0,0.14,50.73
1432631700,0.07,0,0,44.81
1432632600,0.09,0,0.168,44.81
1432633500,0.09,0,0.217,44.81
1432634400,0.099,0,0.115,44.81
1432635300,0.101,0,0.14,42.01
1432636200,0.09,0,0.006,42.01
1432637100,0.092,0,0.076,42.01
1432638000,0.108,0,0.048,42.01
1432638900,0.112,0,0.434,39.98
1432639800,0.088,0,0.458,39.98
1432640700,0.069,0,0.251,39.98
1432641600,0.093,0,0.117,39.98
1432642500,0.077,0,0.055,38.18
1432643400,0.091,0,0.145,38.18
