load1,load2,load3,price
0.12,0.0,0.645,28.44
0.12,0.0,0.307,28.44
0.125,0.0,0.198,30.86
0.105,0.0,0.102,30.86
0.125,0.0,0.257,30.86
0.115,0.0,0.104,30.86
0.09,0.0,0.108,32.48
0.115,0.0,0.249,32.48
0.115,0.0,0.099,32.48
0.13,0.0,0.243,32.48
0.17,0.0,0.075,34.84
0.1,0.0,0.111,34.84
0.13,0.0,0.21,34.84
0.145,0.0,0.043,34.84
0.14,0.03,0.198,34.97
0.14,0.07,0.123,34.97
0.075,0.07,0.056,34.97
0.105,0.095,0.241,34.97
0.09,0.395,0.054,32.52
0.085,0.325,0.181,32.52
0.095,0.15,0.106,32.52
0.07,0.15,0.086,32.52
0.085,0.16,0.192,31.37
0.085,0.15,0.061,31.37
0.09,0.14,0.205,31.37
0.09,0.16,0.115,31.37
0.085,0.15,0.04,26.08
0.09,0.15,0.232,26.08
0.075,0.15,0.066,26.08
0.08,0.15,0.191,26.08
0.085,0.15,0.118,22.21
0.075,0.125,0.118,22.21
0.095,0.095,0.118,22.21
0.085,0.08,0.092,22.21
0.08,0.095,0.196,18.92
0.085,0.08,0.098,18.92
0.07,0.05,0.119,18.92
0.085,0.05,0.173,18.92
0.09,0.06,0.048,17.53
0.085,0.055,0.232,17.53
0.09,0.075,0.05,17.53
0.07,0.065,0.189,17.53
0.09,0.075,0.122,18.01
0.075,0.06,0.096,18.01
0.095,0.07,0.339,18.01
0.12,0.045,0.351,18.01
0.08,0.06,0.9,17.29
0.1,0.045,0.566,17.29
0.085,0.06,0.065,17.29
0.085,0.045,0.06,17.29
0.085,0.055,0.228,17.1
0.09,0.05,0.124,17.1
0.1,0.075,0.058,17.1
0.095,0.065,0.129,17.1
0.11,0.075,0.0,17.71
0.13,0.065,0.0,17.71
0.115,0.07,0.09,17.71
0.11,0.045,0.0,17.71
0.105,0.015,0.023,17.06
0.085,0.01,0.026,17.06
0.09,0.0,0.001,17.06
0.485,0.0,0.0,17.06
0.26,0.0,0.0,24.04
0.11,0.06,0.0,24.04
0.16,0.0,0.031,24.04
0.475,0.0,0.017,24.04
0.13,0.0,0.016,24.08
0.185,0.0,0.036,24.08
0.125,0.0,0.0,24.08
0.13,0.0,0.0,24.08
0.125,0.0,0.0,18.6
0.12,0.0,0.0,18.6
0.46,0.0,0.005,18.6
0.285,0.0,0.035,18.6
0.09,0.0,0.0,18.67
0.35,0.0,0.0,18.67
0.145,0.0,0.013,18.67
0.215,0.0,0.117,18.67
0.155,0.0,0.0,15.34
0.105,0.0,0.051,15.34
0.13,0.0,0.039,15.34
0.135,0.0,0.0,15.34
0.115,0.0,0.016,15.01
0.11,0.0,0.004,15.01
0.105,0.0,0.0,15.01
0.13,0.0,0.0,15.01
0.29,0.0,0.084,15.16
0.125,0.0,0.064,15.16
0.1,0.0,0.286,15.16
0.08,0.0,0.758,15.16
0.105,0.0,0.743,14.98
0.105,0.0,0.072,14.98
0.145,0.0,0.065,14.98
0.125,0.0,0.097,14.98
0.1,0.0,0.097,14.51
0.1,0.0,0.051,14.51
0.1,0.0,0.098,14.51
0.09,0.0,0.087,14.51
0.17,0.0,0.073,18.05
0.12,0.0,0.08,18.05
